Name,Age,Hometown,Job category,Race,Place,Season ,
Maurissa Gunn[29][46],23,West,MEDICAL,Black,23,24,
Megan Hops[47],26,West,FLIGHT ATTENDANT,White,23,24,
Rachael Kirkconnell[15],24,South,ART,White,1,25,
Michelle Young[17][18],27,Midwest,TEACHER,White,2,25,
"Briana ""Bri"" Springs[19][20]",24,South,MARKETING,Black,3,25,
Serena Pitt[22][23],23,Canada,MARKETING,Asian,4,25,
Pieper James[25],23,Northwest,STUDENT,Black,5,25,
Jessenia Cruz[20],27,South,MARKETING,Hispanic,6,25,
Kit Keenan[7],21,East,BEAUTY,White,7,25,
Abigail Heringer[9][25],25,Northwest,FINANCE,Asian,8,25,
Chelsea Vaughn[26],29,South,ACTRESS/MODEL,Black,9,25,
Serena Chew[27],24,West,FLIGHT ATTENDANT,Asian,9,25,
Katie Thurston[22][28],29,Northwest,FINANCE,White,11,25,
Brittany Galvin[17][30],23,Midwest,ACTRESS/MODEL,White,12,25,
"Mearg ""Magi"" Tareke[31]",32,International,MEDICAL,Black,12,25,
Ryan Claytor[17],26,South,ACTRESS/MODEL,White,12,25,
"Meredith ""MJ"" Snyder[32]",23,Midwest,BEAUTY,White,15,25,
Catalina Morales[17],29,International,BEAUTY,White,16,25,
Lauren Maddox[34],29,South,LAWYER,Black,16,25,
"Mariela ""Mari"" Pepin[6][35]",24,Mid atlantic,MARKETING,Hispanic,16,25,
Victoria Larson[36],27,East,JOKE,White,16,25,
Anna Redman[37][38],24,Midwest,WRITER,White,20,25,
Kaili Anderson[38],26,West,RESTAURANT JOB,White,20,25,
Khaylah Epps[40],28,Mid atlantic,MEDICAL,Black,20,25,
"Kimberly ""Kim"" Li[17]",28,West,MEDICAL,White,20,25,
Sarah Trott[41],24,West,NEWS,White,24,25,
Alana Milne[20],26,South,ART,White,25,25,
Illeana Pennetto[43],25,East,BEAUTY,White,25,25,
Kristin Hopkins[44],27,South,LAWYER,Black,25,25,
Marylynn Sienna[45],28,West,EVENT PLANNER,Asian,25,25,
Sydney Johnson[8],28,South,MARKETING,Black,25,25,
Alicia Holloway[46],24,South,DANCER,Black,25,25,
Amber Andrews[45],30,West,STUDENT,White,25,25,
Carolyn Vallejo[45],30,East,NEWS,White,25,25,
Casandra Suarez[45],25,West,POLITICS,Hispanic,25,25,
Corrinne Jones[48],22,East,MARKETING,White,25,25,
Emani Curl[49],25,West,REALTOR,Black,25,25,
Kimberly Courneya[28],28,Northwest,RECRUITER,Black,25,25,
Saneh Ste. Claire[50],25,South,SCIENCE/TECHNOLOGY,White,25,25,
